Date,Type,Name,Start,End,Duration
9/26/14,place,Place in Rincon Heights,2014-09-26T13:18:20-07:00,2014-09-26T13:42:02-07:00,1422
9/26/14,move,transport,2014-09-26T13:42:02-07:00,2014-09-26T13:49:41-07:00,459
9/26/14,move,walking,2014-09-26T13:49:41-07:00,2014-09-26T13:52:25-07:00,164
9/26/14,place,Place in El Presidio,2014-09-26T13:52:25-07:00,2014-09-26T16:54:39-07:00,10934
9/26/14,move,walking,2014-09-26T16:54:39-07:00,2014-09-26T16:56:07-07:00,88
9/26/14,move,transport,2014-09-26T16:56:07-07:00,2014-09-26T16:58:43-07:00,156
9/26/14,move,walking,2014-09-26T16:58:42-07:00,2014-09-26T17:04:07-07:00,325
9/26/14,move,transport,2014-09-26T17:04:06-07:00,2014-09-26T17:24:37-07:00,1231
9/26/14,place,Place in Pima County,2014-09-26T17:24:38-07:00,2014-09-26T17:52:10-07:00,1652
9/26/14,place,Place in Rincon Heights,2014-09-26T17:52:10-07:00,2014-09-26T18:07:16-07:00,906
9/26/14,move,walking,2014-09-26T18:07:16-07:00,2014-09-26T18:11:12-07:00,236
9/26/14,move,transport,2014-09-26T18:11:12-07:00,2014-09-26T18:21:43-07:00,631
9/26/14,place,Place in Rincon Heights,2014-09-26T18:21:43-07:00,2014-09-26T18:32:19-07:00,636
9/26/14,move,walking,2014-09-26T18:32:19-07:00,2014-09-26T18:36:07-07:00,228
9/26/14,move,transport,2014-09-26T18:36:07-07:00,2014-09-26T18:45:10-07:00,543
9/26/14,place,Place in Rincon Heights,2014-09-26T18:45:11-07:00,2014-09-26T19:08:40-07:00,1409
9/26/14,move,walking,2014-09-26T19:08:40-07:00,2014-09-26T19:22:01-07:00,801
9/26/14,place,Place in Rincon Heights,2014-09-26T19:22:01-07:00,2014-09-26T19:34:15-07:00,734
9/26/14,move,transport,2014-09-26T19:34:15-07:00,2014-09-26T19:35:00-07:00,45
9/26/14,place,Place in West University,2014-09-26T19:34:59-07:00,2014-09-26T21:41:12-07:00,7573
9/26/14,place,Place in West University,2014-09-26T21:41:12-07:00,2014-09-26T23:08:10-07:00,5218
