Date,Type,Name,Start,End,Duration
10/4/14,place,Place in Rincon Heights,2014-10-04T00:00:00-07:00,2014-10-04T09:05:04-07:00,32704
10/4/14,move,transport,2014-10-04T09:05:04-07:00,2014-10-04T09:10:34-07:00,330
10/4/14,place,Place in Pima County,2014-10-04T09:10:34-07:00,2014-10-04T09:17:36-07:00,422
10/4/14,move,transport,2014-10-04T09:17:36-07:00,2014-10-04T09:27:22-07:00,586
10/4/14,move,transport,2014-10-04T09:27:22-07:00,2014-10-04T09:30:47-07:00,205
10/4/14,place,Place in Rincon Heights,2014-10-04T09:30:47-07:00,2014-10-04T10:24:00-07:00,3193
10/4/14,move,transport,2014-10-04T10:24:00-07:00,2014-10-04T10:36:04-07:00,724
10/4/14,place,Place in Sam Hughes,2014-10-04T10:36:03-07:00,2014-10-04T10:47:25-07:00,682
10/4/14,move,transport,2014-10-04T10:47:25-07:00,2014-10-04T10:50:17-07:00,172
10/4/14,place,Place in Pima County,2014-10-04T10:50:17-07:00,2014-10-04T11:05:47-07:00,930
10/4/14,move,transport,2014-10-04T11:05:47-07:00,2014-10-04T11:24:55-07:00,1148
10/4/14,place,Place in Pima County,2014-10-04T11:24:54-07:00,2014-10-04T11:52:12-07:00,1638
10/4/14,place,Place in Pima County,2014-10-04T11:52:12-07:00,2014-10-04T12:02:10-07:00,598
10/4/14,move,transport,2014-10-04T12:02:10-07:00,2014-10-04T12:38:17-07:00,2167
10/4/14,place,Place in Pima County,2014-10-04T12:38:17-07:00,2014-10-04T13:03:51-07:00,1534
10/4/14,move,transport,2014-10-04T13:03:51-07:00,2014-10-04T13:31:22-07:00,1651
10/4/14,place,Place in Pima County,2014-10-04T13:31:22-07:00,2014-10-04T13:35:59-07:00,277
10/4/14,move,transport,2014-10-04T13:35:59-07:00,2014-10-04T14:37:05-07:00,3666
10/4/14,place,Place in El Presidio,2014-10-04T14:37:04-07:00,2014-10-04T14:50:01-07:00,777
10/4/14,move,transport,2014-10-04T14:50:01-07:00,2014-10-04T15:03:54-07:00,833
10/4/14,move,transport,2014-10-04T15:03:53-07:00,2014-10-04T16:15:14-07:00,4281
10/4/14,place,Place in Rincon Heights,2014-10-04T16:15:14-07:00,2014-10-04T17:27:14-07:00,4320
10/4/14,move,walking,2014-10-04T17:27:14-07:00,2014-10-04T17:34:39-07:00,445
10/4/14,place,Place in Rincon Heights,2014-10-04T17:34:39-07:00,2014-10-04T17:40:35-07:00,356
10/4/14,move,walking,2014-10-04T17:40:35-07:00,2014-10-04T17:49:12-07:00,517
10/4/14,place,Place in Rincon Heights,2014-10-04T17:49:12-07:00,2014-10-04T17:54:44-07:00,332
10/4/14,move,transport,2014-10-04T17:54:44-07:00,2014-10-04T18:05:49-07:00,665
10/4/14,place,Place in Pascua Yaqui Indian Village,2014-10-04T18:05:49-07:00,2014-10-04T18:27:32-07:00,1303
10/4/14,move,transport,2014-10-04T18:27:32-07:00,2014-10-04T18:36:58-07:00,566
10/4/14,place,Place in Rincon Heights,2014-10-04T18:36:58-07:00,2014-10-05T00:00:00-07:00,19382
