Date,Type,Name,Start,End,Duration
10/3/14,place,Place in Rincon Heights,2014-10-03T00:00:00-07:00,2014-10-03T07:45:03-07:00,27903
10/3/14,move,transport,2014-10-03T07:45:03-07:00,2014-10-03T07:51:09-07:00,366
10/3/14,move,walking,2014-10-03T07:51:10-07:00,2014-10-03T07:53:56-07:00,166
10/3/14,place,Place in El Presidio,2014-10-03T07:53:56-07:00,2014-10-03T11:06:34-07:00,11558
10/3/14,move,walking,2014-10-03T11:06:34-07:00,2014-10-03T11:08:23-07:00,109
10/3/14,move,transport,2014-10-03T11:08:22-07:00,2014-10-03T11:15:29-07:00,427
10/3/14,place,Place in Rincon Heights,2014-10-03T11:15:30-07:00,2014-10-03T11:36:23-07:00,1253
10/3/14,move,walking,2014-10-03T11:36:23-07:00,2014-10-03T11:51:50-07:00,927
10/3/14,place,Place in Rincon Heights,2014-10-03T11:51:51-07:00,2014-10-03T12:46:40-07:00,3289
10/3/14,move,walking,2014-10-03T12:46:40-07:00,2014-10-03T13:03:41-07:00,1021
10/3/14,place,Place in Rincon Heights,2014-10-03T13:03:40-07:00,2014-10-03T13:24:31-07:00,1251
10/3/14,move,transport,2014-10-03T13:24:31-07:00,2014-10-03T13:26:54-07:00,143
10/3/14,move,walking,2014-10-03T13:26:54-07:00,2014-10-03T13:30:00-07:00,186
10/3/14,place,Place in El Presidio,2014-10-03T13:30:00-07:00,2014-10-03T16:54:28-07:00,12268
10/3/14,move,transport,2014-10-03T16:54:28-07:00,2014-10-03T17:03:25-07:00,537
10/3/14,place,Place in Rincon Heights,2014-10-03T17:03:25-07:00,2014-10-03T17:47:19-07:00,2634
10/3/14,move,walking,2014-10-03T17:47:19-07:00,2014-10-03T17:59:49-07:00,750
10/3/14,place,Place in Iron Horse,2014-10-03T17:59:50-07:00,2014-10-03T18:16:16-07:00,986
10/3/14,move,walking,2014-10-03T18:16:16-07:00,2014-10-03T18:34:30-07:00,1094
10/3/14,place,Place in El Presidio,2014-10-03T18:34:29-07:00,2014-10-03T19:55:21-07:00,4852
10/3/14,move,walking,2014-10-03T19:55:21-07:00,2014-10-03T20:09:16-07:00,835
10/3/14,place,Place in Rincon Heights,2014-10-03T20:09:16-07:00,2014-10-04T00:00:00-07:00,13844
