Date,Type,Name,Start,End,Duration
9/11/14,place,Place in El Presidio,2014-09-11T11:57:45-07:00,2014-09-11T12:16:13-07:00,1108
9/11/14,move,walking,2014-09-11T12:16:13-07:00,2014-09-11T12:19:10-07:00,177
9/11/14,move,transport,2014-09-11T12:19:09-07:00,2014-09-11T12:24:21-07:00,312
9/11/14,place,Place in El Rio,2014-09-11T12:24:21-07:00,2014-09-11T12:34:21-07:00,600
9/11/14,move,transport,2014-09-11T12:34:21-07:00,2014-09-11T12:43:27-07:00,546
9/11/14,place,Place in Pima County,2014-09-11T12:43:27-07:00,2014-09-11T12:47:35-07:00,248
9/11/14,move,transport,2014-09-11T12:47:35-07:00,2014-09-11T13:28:55-07:00,2480
9/11/14,place,Place in Rincon Heights,2014-09-11T13:28:54-07:00,2014-09-11T15:05:45-07:00,5811
9/11/14,move,walking,2014-09-11T15:05:45-07:00,2014-09-11T15:15:58-07:00,613
9/11/14,place,Place in Rincon Heights,2014-09-11T15:15:58-07:00,2014-09-11T16:46:24-07:00,5426
9/11/14,move,walking,2014-09-11T16:46:24-07:00,2014-09-11T16:55:08-07:00,524
9/11/14,place,Place in West University,2014-09-11T16:55:07-07:00,2014-09-11T17:06:04-07:00,657
9/11/14,place,Place in West University,2014-09-11T17:06:05-07:00,2014-09-11T17:35:59-07:00,1794
9/11/14,place,Place in West University,2014-09-11T17:36:00-07:00,2014-09-11T18:57:22-07:00,4882
9/11/14,move,transport,2014-09-11T18:57:22-07:00,2014-09-11T19:02:30-07:00,308
9/11/14,move,walking,2014-09-11T19:02:29-07:00,2014-09-11T19:07:30-07:00,301
9/11/14,place,Place in Rincon Heights,2014-09-11T19:07:30-07:00,2014-09-11T19:10:52-07:00,202
9/11/14,move,walking,2014-09-11T19:10:52-07:00,2014-09-11T19:21:21-07:00,629
9/11/14,place,Place in Rincon Heights,2014-09-11T19:21:22-07:00,2014-09-12T00:00:00-07:00,16718
