Date,Type,Name,Start,End,Duration
10/2/14,place,Place in Rincon Heights,2014-10-02T00:00:00-07:00,2014-10-02T08:00:18-07:00,28818
10/2/14,move,transport,2014-10-02T08:00:18-07:00,2014-10-02T08:07:51-07:00,453
10/2/14,move,walking,2014-10-02T08:07:52-07:00,2014-10-02T08:10:41-07:00,169
10/2/14,place,Place in El Presidio,2014-10-02T08:10:40-07:00,2014-10-02T11:40:34-07:00,12594
10/2/14,move,walking,2014-10-02T11:40:34-07:00,2014-10-02T11:44:05-07:00,211
10/2/14,move,transport,2014-10-02T11:44:05-07:00,2014-10-02T11:55:26-07:00,681
10/2/14,place,Place in Rincon Heights,2014-10-02T11:55:26-07:00,2014-10-02T12:21:04-07:00,1538
10/2/14,move,walking,2014-10-02T12:21:04-07:00,2014-10-02T12:25:32-07:00,268
10/2/14,place,Place in El Presidio,2014-10-02T12:25:32-07:00,2014-10-02T14:49:10-07:00,8618
10/2/14,move,walking,2014-10-02T14:49:10-07:00,2014-10-02T15:02:46-07:00,816
10/2/14,move,transport,2014-10-02T15:02:45-07:00,2014-10-02T15:05:59-07:00,194
10/2/14,move,transport,2014-10-02T15:05:59-07:00,2014-10-02T15:10:07-07:00,248
10/2/14,place,Place in Rincon Heights,2014-10-02T15:10:07-07:00,2014-10-02T18:47:22-07:00,13035
10/2/14,move,walking,2014-10-02T18:47:22-07:00,2014-10-02T18:58:01-07:00,639
10/2/14,place,Place in Rincon Heights,2014-10-02T18:58:01-07:00,2014-10-02T19:10:59-07:00,778
10/2/14,place,Place in Rincon Heights,2014-10-02T19:11:00-07:00,2014-10-02T20:01:17-07:00,3017
10/2/14,place,Place in Iron Horse,2014-10-02T20:01:17-07:00,2014-10-02T23:06:59-07:00,11142
10/2/14,move,transport,2014-10-02T23:06:59-07:00,2014-10-02T23:07:28-07:00,29
10/2/14,place,Place in Rincon Heights,2014-10-02T23:07:28-07:00,2014-10-03T00:00:00-07:00,3152
