Date,Type,Name,Start,End,Duration
10/1/14,place,Place in Rincon Heights,2014-10-01T00:00:00-07:00,2014-10-01T08:42:59-07:00,31379
10/1/14,move,transport,2014-10-01T08:42:59-07:00,2014-10-01T08:50:36-07:00,457
10/1/14,move,walking,2014-10-01T08:50:35-07:00,2014-10-01T08:52:45-07:00,130
10/1/14,place,Place in El Presidio,2014-10-01T08:52:45-07:00,2014-10-01T09:22:08-07:00,1763
10/1/14,move,walking,2014-10-01T09:22:08-07:00,2014-10-01T09:24:40-07:00,152
10/1/14,move,transport,2014-10-01T09:24:40-07:00,2014-10-01T09:35:23-07:00,643
10/1/14,place,Place in Pima County,2014-10-01T09:35:23-07:00,2014-10-01T09:57:49-07:00,1346
10/1/14,place,Place in Pima County,2014-10-01T09:57:50-07:00,2014-10-01T10:33:41-07:00,2151
10/1/14,place,Place in Pima County,2014-10-01T10:33:41-07:00,2014-10-01T11:02:55-07:00,1754
10/1/14,move,transport,2014-10-01T11:02:55-07:00,2014-10-01T11:09:35-07:00,400
10/1/14,place,Place in Rincon Heights,2014-10-01T11:09:36-07:00,2014-10-01T11:21:20-07:00,704
10/1/14,move,walking,2014-10-01T11:21:20-07:00,2014-10-01T11:33:59-07:00,759
10/1/14,place,Place in Rincon Heights,2014-10-01T11:33:59-07:00,2014-10-01T11:38:17-07:00,258
10/1/14,move,walking,2014-10-01T11:38:17-07:00,2014-10-01T11:42:20-07:00,243
10/1/14,place,Place in West University,2014-10-01T11:42:21-07:00,2014-10-01T11:52:21-07:00,600
10/1/14,move,walking,2014-10-01T11:52:21-07:00,2014-10-01T11:56:32-07:00,251
10/1/14,place,Place in Rincon Heights,2014-10-01T11:56:31-07:00,2014-10-01T12:51:26-07:00,3295
10/1/14,move,walking,2014-10-01T12:51:26-07:00,2014-10-01T13:06:27-07:00,901
10/1/14,place,Place in Rincon Heights,2014-10-01T13:06:27-07:00,2014-10-01T14:32:18-07:00,5151
10/1/14,move,walking,2014-10-01T14:32:18-07:00,2014-10-01T14:51:22-07:00,1144
10/1/14,place,Place in Rincon Heights,2014-10-01T14:51:22-07:00,2014-10-01T16:03:20-07:00,4318
10/1/14,move,walking,2014-10-01T16:03:20-07:00,2014-10-01T16:18:47-07:00,927
10/1/14,place,Place in Rincon Heights,2014-10-01T16:18:47-07:00,2014-10-02T00:00:00-07:00,27673
