Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/28/14,walking,walking,2014-09-28T03:20:05-07:00,2014-09-28T03:20:38-07:00,33,0.017,54,0
9/28/14,walking,walking,2014-09-28T11:33:01-07:00,2014-09-28T11:33:08-07:00,7,0.003,9,0
9/28/14,walking,walking,2014-09-28T13:04:24-07:00,2014-09-28T13:05:48-07:00,84,0.033,105,0
9/28/14,walking,walking,2014-09-28T14:34:15-07:00,2014-09-28T14:35:15-07:00,60,0.022,70,0
9/28/14,transport,transport,2014-09-28T14:36:56-07:00,2014-09-28T14:46:52-07:00,596,2.580,0,0
9/28/14,walking,walking,2014-09-28T14:53:57-07:00,2014-09-28T14:54:57-07:00,60,0.024,75,0
9/28/14,walking,walking,2014-09-28T15:29:08-07:00,2014-09-28T15:29:38-07:00,30,0.012,40,0
9/28/14,transport,transport,2014-09-28T15:30:15-07:00,2014-09-28T15:38:20-07:00,485,2.984,0,0
9/28/14,walking,walking,2014-09-28T15:39:10-07:00,2014-09-28T15:41:19-07:00,129,0.080,171,0
9/28/14,walking,walking,2014-09-28T16:00:00-07:00,2014-09-28T16:00:49-07:00,49,0.025,82,0
9/28/14,transport,transport,2014-09-28T16:02:31-07:00,2014-09-28T16:05:53-07:00,202,0.805,0,0
9/28/14,walking,walking,2014-09-28T16:05:53-07:00,2014-09-28T16:07:51-07:00,118,0.043,139,0
9/28/14,walking,walking,2014-09-28T16:31:42-07:00,2014-09-28T16:32:47-07:00,65,0.024,76,0
9/28/14,walking,walking,2014-09-28T17:05:48-07:00,2014-09-28T17:06:26-07:00,38,0.017,54,0
9/28/14,walking,walking,2014-09-28T18:09:59-07:00,2014-09-28T18:12:11-07:00,132,0.087,186,0
9/28/14,walking,walking,2014-09-28T19:40:49-07:00,2014-09-28T19:40:53-07:00,4,0.002,5,0
