Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/27/14,walking,walking,2014-09-27T13:15:12-07:00,2014-09-27T13:15:39-07:00,27,0.008,27,0
9/27/14,transport,transport,2014-09-27T13:20:31-07:00,2014-09-27T13:39:45-07:00,1154,5.536,0,0
9/27/14,walking,walking,2014-09-27T17:10:07-07:00,2014-09-27T17:10:37-07:00,30,0.009,30,0
9/27/14,transport,transport,2014-09-27T22:27:45-07:00,2014-09-27T22:33:19-07:00,334,1.543,0,0
9/27/14,walking,walking,2014-09-27T22:33:33-07:00,2014-09-27T22:34:52-07:00,79,0.046,148,0
9/27/14,transport,transport,2014-09-27T22:45:07-07:00,2014-09-27T22:48:19-07:00,192,0.997,0,0
9/27/14,walking,walking,2014-09-27T23:23:10-07:00,2014-09-27T23:23:40-07:00,30,0.009,30,0
